Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
2057,1795074,Estell Bins MD,Mr,Male,1,Married,31,2021-08-23,5/7/2022,Inactive,5/7/2022,\N,\N,Labour,Permanant,Buddhist,Unskilled Labor,1978
2059,1795076,Miss Eden Runolfsson,Mr,Male,1,Married,124,2021-08-23,4/2/2022,Inactive,4/2/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1955
2060,1795077,Meredith Kuhic PhD,Mr,Male,1,Married,124,2021-08-23,4/1/2022,Inactive,4/1/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1975
2062,1795079,Erica Barton,Mr,Male,1,Married,31,2021-08-23,4/2/2022,Inactive,4/2/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1967
2063,5329,Prof Freda Eichmann,Mr,Male,1,Married,22,2021-08-23,4/30/2022,Inactive,4/30/2022,2064,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1994
2065,204001,Jerrell Witting,Mr,Male,1,Married,122,2021-08-20,3/16/2022,Inactive,3/16/2022,\N,\N,Labour,Contarct Basis,Buddhist,Security,1978
2068,204004,Prof Dusty Purdy Sr,Mr,Male,1,Single,129,2021-08-20,0000-00-00,Active,0000-00-00,\N,\N,Labour,Contarct Basis,Buddhist,Stores Helper,1997
2070,204006,Ms Rafaela Johns MD,Ms,Female,1,Married,31,2021-08-21,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1988
2073,1795080,Oceane Krajcik I,Mr,Male,1,Married,124,2021-08-25,5/7/2022,Inactive,5/7/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1955
2079,196144,Floyd Brown,Mr,Male,1,Married,24,2021-08-17,3/22/2022,Inactive,3/22/2022,\N,\N,Labour,Contarct Basis,Buddhist,Driver,1976
2080,196145,Prof Alaina Wolf,Mr,Male,1,Single,31,2021-08-20,1/20/2022,Inactive,1/20/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2003
